countyname,statename,fips_1,sociod_eqi_2jan2018_vc,air_eqi_2jan2018_vc,land_eqi_2jan2018_vc,water_eqi_2jan2018_vc,eqi_2jan2018_vc,pctnonwhite10,gdp2017b,metro,fac_penalty_count,CIDDist,FinalEC,estab,EPAregion,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,cases_2020,proportionObama
Fulton County,Illinois,17057,-.099568553,-.69984883,-.7543543,-1.0236918,-.90052754,7.2081795,.92753297,0,6,174.8096268696758,0,12,5,0,0,0,0,0,0,0,0,0,0,0
Gallatin County,Illinois,17059,-.9514398,-.33593699,-.42597967,.31012422,-.32336122,2.8985507,.16406099,0,0,177.4138759741427,0,4,5,0,0,0,0,0,0,0,0,0,0,0
Greene County,Illinois,17061,-.55166245,.046494875,-.88614345,-.90871775,-.52987999,2.6573527,.300973,0,0,62.43855011036646,0,9,5,0,0,0,0,0,0,0,0,0,0,0
Grundy County,Illinois,17063,.58573592,-.13741621,-.72783113,-1.2305992,-1.0596776,11.060064,3.8071799,1,4,69.23534272923781,0,46,5,0,0,0,0,0,0,0,0,0,0,0
Hamilton County,Illinois,17065,-.71745682,-.7260831,-.45814425,1.4068544,-.560781,2.636869,.360322,0,0,135.9137974925652,0,8,5,0,0,0,0,0,0,0,0,0,0,0
Hancock County,Illinois,17067,-.026503505,-.11204961,-.77420545,-1.3567103,-.1474746,2.5806115,.497446,0,1,186.0298686624483,0,22,5,0,0,0,0,0,0,0,0,0,0,0
Hardin County,Illinois,17069,-1.5120728,-.28668556,.75829977,-1.298139,-.63511807,3.4490743,.083819002,0,2,193.1024974306871,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Henderson County,Illinois,17071,-.21473601,-.33495283,-.91625828,-1.2965837,-1.013633,2.7008593,.16228101,0,0,230.9376707154569,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Henry County,Illinois,17073,.50052905,-.15714855,-1.2484728,-1.3541279,-.69539112,7.9091234,1.44686,1,8,187.2214268170076,0,44,5,0,0,0,0,0,0,0,0,0,0,0
Iroquois County,Illinois,17075,-.33550042,-.69941229,-1.2231921,-1.4539636,-.92794639,7.5745335,.99731803,0,1,97.26803871075944,0,28,5,0,0,0,0,0,0,0,0,0,0,0
Jackson County,Illinois,17077,.62923908,-.2423743,-.41543883,-.84901321,-.20107086,24.032681,2.4932871,1,1,91.47607245296568,0,40,5,0,0,0,0,0,0,0,0,0,0,0
Jasper County,Illinois,17079,-.71563822,-.66707975,-.60269094,.39609745,-.62390822,1.8663641,.453284,0,0,160.3854484797489,0,10,5,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Illinois,17081,-.29380065,-.27932203,-.48493388,1.4057906,.19548133,12.640688,1.8887711,0,2,92.71731369268927,0,29,5,0,0,0,0,0,0,0,0,0,0,0
Jersey County,Illinois,17083,.084045939,-.58230209,-.37601912,-.10076742,-.88059622,3.0628669,.46882799,1,0,34.19456154743343,0,15,5,0,0,0,0,0,0,0,0,0,0,0
Jo Daviess County,Illinois,17085,.32078126,-.70481741,-.35860899,-1.3834587,-.28454548,4.3963313,.804012,0,3,191.589785470401,0,35,5,0,0,0,0,0,0,0,0,0,0,0
Johnson County,Illinois,17087,-.64847994,-.35983869,.40703559,1.4006341,-.02840293,12.128437,.224573,0,0,152.9508349639877,0,8,5,0,0,0,0,0,0,0,0,0,0,0
Kane County,Illinois,17089,1.7501005,-.40611255,-.69941944,-1.5082339,-1.6199197,40.991791,26.561783,1,26,52.09041995510511,1,772,5,1,0,0,0,0,0,0,0,0,0,1
Kankakee County,Illinois,17091,.33653837,-1.408217,-.97032809,-1.3831661,-1.5086805,26.647217,5.9406519,1,5,64.96178336289429,1,111,5,0,0,1,0,0,0,0,0,0,0,1
Kendall County,Illinois,17093,1.833717,-1.2329899,-.99248707,-1.1233155,-2.5781319,25.780922,3.5627961,1,1,54.78820229214322,0,79,5,0,0,0,0,0,0,0,0,0,0,0
Knox County,Illinois,17095,.096476033,-1.0275939,-.70333159,-1.4347501,-.9716289,14.714941,1.73797,0,2,211.3550148386597,0,30,5,0,0,0,0,0,0,0,0,0,0,0
Lake County,Illinois,17097,2.4507277,-.67517769,.062418327,-1.4575757,-1.3463858,34.793777,61.104141,1,19,32.48731034372729,0,818,5,0,0,0,0,0,0,0,0,0,0,0
LaSalle County,Illinois,17099,.30904731,-1.3254809,-1.2749768,-1.4646858,-1.3386096,11.743794,5.800014,0,15,84.82813342349564,0,140,5,0,0,0,0,0,0,0,0,0,0,0
Lawrence County,Illinois,17101,-.61266565,-1.1990262,-1.0068119,-1.1282595,-1.2492602,13.913147,.51997101,0,2,155.694288041472,0,11,5,0,0,0,0,0,0,0,0,0,0,0
Lee County,Illinois,17103,-.017407028,-.50743908,-1.2083906,-1.2359067,-.86259317,11.676057,1.5089231,0,0,108.0265884798892,0,33,5,0,0,0,0,0,0,0,0,0,0,0
Livingston County,Illinois,17105,-.19732529,-.69102836,-1.1295508,-1.4630215,-.92695761,10.390244,1.7394069,0,4,99.74292863525076,1,56,5,0,0,0,1,0,0,0,0,0,0,1
Logan County,Illinois,17107,.14982642,-.35808343,-1.1712933,-1.3640596,-.77076417,12.271902,.984303,0,0,159.0084876357853,0,10,5,0,0,0,0,0,0,0,0,0,0,0
McDonough County,Illinois,17109,.50203449,-.49301028,-.78137159,-1.3250827,-.45649317,11.140071,1.162632,0,1,186.395403827922,0,15,5,0,0,0,0,0,0,0,0,0,0,0
McHenry County,Illinois,17111,1.9238499,-.42465016,-.8577202,-1.6770331,-1.7602643,16.250811,11.756813,1,8,56.11681059769001,0,432,5,0,0,0,0,0,0,0,0,0,0,0
McLean County,Illinois,17113,1.9319911,-1.1695254,-1.0248995,-1.56609,-1.5518221,18.126225,14.476949,1,10,148.3133693236506,0,83,5,0,0,0,0,0,0,0,0,0,0,0
Macon County,Illinois,17115,.48248911,-.99296629,-.83265769,-1.0548264,-1.0011271,21.618156,6.9504871,1,11,147.0298894811107,0,102,5,0,0,0,0,0,0,0,0,0,0,0
Macoupin County,Illinois,17117,-.088266544,-1.1494591,-.50902969,-1.368629,-1.2453421,3.0356956,1.167465,1,1,42.33013127075252,0,31,5,0,0,0,0,0,0,0,0,0,0,0
Madison County,Illinois,17119,.91461349,-.48901212,-.78481948,-.89599967,-.9503386,13.282358,11.160858,1,35,4.374376225000004,1,175,5,0,0,0,0,0,1,0,0,0,0,1
Marion County,Illinois,17121,-.3344464,-1.4431859,-.245168,-.85872132,-.87901241,7.5588913,1.322298,0,7,91.41861587492406,0,43,5,0,0,0,0,0,0,0,0,0,0,0
Marshall County,Illinois,17123,-.13553257,-.4621236,-1.1154817,-1.2913944,-.87175006,4.050633,.37408,1,6,145.836825468371,0,8,5,0,0,0,0,0,0,0,0,0,0,0
Mason County,Illinois,17125,-.5952087,-.41411838,-1.1703526,-.86449826,-.59763813,2.5228419,.543181,0,0,159.9273121947404,0,10,5,0,0,0,0,0,0,0,0,0,0,0
Massac County,Illinois,17127,-.48545617,-.2022936,-.66417408,-1.1957365,-.38093993,10.169162,.61469603,0,5,183.1638736456166,1,9,5,1,0,0,0,0,0,0,0,0,0,1
Menard County,Illinois,17129,.20884146,-.8168785,-.83235681,-1.3521122,-1.165275,3.030303,.22777399,1,0,144.3044585691535,0,8,5,0,0,0,0,0,0,0,0,0,0,0
Mercer County,Illinois,17131,-.18551765,-.09633372,-1.0511593,-1.4376208,-.86840987,3.1763415,.38387501,1,1,239.9685832602706,0,12,5,0,0,0,0,0,0,0,0,0,0,0
Monroe County,Illinois,17133,.91679573,-.46296382,-.73422867,1.405908,-.55377203,2.931092,.910312,1,2,12.80818129422995,0,18,5,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Illinois,17135,-.2678099,-.72717059,-.57743466,-.83916277,-.70187306,5.8796177,1.233362,0,0,60.26014274362645,0,25,5,0,0,0,0,0,0,0,0,0,0,0
Morgan County,Illinois,17137,.039281551,-.23032308,-.92814714,1.3922662,.11032879,10.155569,1.472824,0,2,100.4341132179653,0,31,5,0,0,0,0,0,0,0,0,0,0,0
Moultrie County,Illinois,17139,-.20418632,-.42011538,-.79875201,-1.3596098,-.86646986,2.1689343,.67729598,0,1,160.3127625167471,0,41,5,0,0,0,0,0,0,0,0,0,0,0
Ogle County,Illinois,17141,.30730239,-.31560293,-.97442263,-1.3701699,-1.0605137,11.350169,2.7043469,0,9,108.0290858205032,0,60,5,0,0,0,0,0,0,0,0,0,0,0
Peoria County,Illinois,17143,1.1661792,-.57357901,-.85398924,-1.348148,-.8851378,27.279163,12.490254,1,18,181.5622925237641,0,134,5,0,0,0,0,0,0,0,0,0,0,0
Perry County,Illinois,17145,-.47736022,-1.234193,-.5142374,.36787227,-.79485953,12.917227,.58662802,0,1,69.425088908039,0,12,5,0,0,0,0,0,0,0,0,0,0,0
Piatt County,Illinois,17147,.38834015,-.45976657,-1.0315416,-1.4515665,-.76473242,2.7078726,.45033801,1,0,180.6458153122566,0,15,5,0,0,0,0,0,0,0,0,0,0,0
Pike County,Illinois,17149,-.77409351,-.27001733,-.66258764,-1.4253843,-.18088455,3.8222764,.51567501,0,1,93.45146126568071,0,11,5,0,0,0,0,0,0,0,0,0,0,0
Pope County,Illinois,17151,-1.2425082,-.12594561,.69190747,1.4109055,.037202731,9.2841167,.064153001,0,0,173.1619540325445,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Pulaski County,Illinois,17153,-1.3300003,-.47220239,-.31723458,-1.1665841,.0025043681,36.098038,.23051199,0,0,166.4943611638748,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Putnam County,Illinois,17155,-.1404762,-.32426542,-.80736953,-1.4866203,-1.0112269,5.860806,.34909499,0,2,141.8743521947931,0,7,5,0,0,0,0,0,0,0,0,0,0,0
